"состояние","ключ","код","итог","первая_строка"
"ДО","--pairth=far","0","МОЛЧА ПРОШЁЛ","зёрен на проверку 3, историй 200, полоса 3,3 СКО среднего"
"ДО","--pairth=on","0","МОЛЧА ПРОШЁЛ","зёрен на проверку 3, историй 200, полоса 3,3 СКО среднего"
"ДО","--pairth=fаr(ru)","0","МОЛЧА ПРОШЁЛ","зёрен на проверку 3, историй 200, полоса 3,3 СКО среднего"
"ДО","--pairth= (пусто)","0","МОЛЧА ПРОШЁЛ","зёрен на проверку 3, историй 200, полоса 3,3 СКО среднего"
"ДО","--pairth=1 ЗАКОН","0","МОЛЧА ПРОШЁЛ","зёрен на проверку 3, историй 200, полоса 3,3 СКО среднего"
"ДО","--pairth=0 ЗАКОН","0","МОЛЧА ПРОШЁЛ","зёрен на проверку 3, историй 200, полоса 3,3 СКО среднего"
"ДО","--source=nucbse","2","МОЛЧА ПРОШЁЛ","нет файла: zzz.spe"
"ДО","--source=nucbase ЗАКОН","2","МОЛЧА ПРОШЁЛ","нет файла: zzz.spe"
"ДО","--phase=fsa2","2","МОЛЧА ПРОШЁЛ","нет файла: zzz.spe"
"ДО","--phase=both ЗАКОН","2","МОЛЧА ПРОШЁЛ","нет файла: zzz.spe"
"ДО","--expect=fial","1","МОЛЧА ПРОШЁЛ","самопроверка мерки: пересечений 1, впритык 1, за полем 1 — мерка живая"
"ДО","--expect=Fail","1","МОЛЧА ПРОШЁЛ","самопроверка мерки: пересечений 1, впритык 1, за полем 1 — мерка живая"
"ПОСЛЕ","--pairth=far","2","ОТКАЗ","⛔ ключ --pairth= понимает только 0 и 1, а получил «far». Разбор строгий (`A77`): прежний считал ЛЮБОЕ неизвестное значение ложью и молчал."
"ПОСЛЕ","--pairth=on","2","ОТКАЗ","⛔ ключ --pairth= понимает только 0 и 1, а получил «on». Разбор строгий (`A77`): прежний считал ЛЮБОЕ неизвестное значение ложью и молчал."
"ПОСЛЕ","--pairth=fаr(ru)","2","ОТКАЗ","⛔ ключ --pairth= понимает только 0 и 1, а получил «fаr». Разбор строгий (`A77`): прежний считал ЛЮБОЕ неизвестное значение ложью и молчал."
"ПОСЛЕ","--pairth= (пусто)","2","ОТКАЗ","⛔ ключ --pairth= понимает только 0 и 1, а получил «». Разбор строгий (`A77`): прежний считал ЛЮБОЕ неизвестное значение ложью и молчал."
"ПОСЛЕ","--pairth=1 ЗАКОН","0","МОЛЧА ПРОШЁЛ","зёрен на проверку 3, историй 200, полоса 3.3 СКО среднего"
"ПОСЛЕ","--pairth=0 ЗАКОН","0","МОЛЧА ПРОШЁЛ","зёрен на проверку 3, историй 200, полоса 3.3 СКО среднего"
"ПОСЛЕ","--source=nucbse","2","ОТКАЗ","⛔ ключ --source= понимает только nucbase и peaks, а получил «nucbse». Разбор строгий (`A77`)."
"ПОСЛЕ","--source=nucbase ЗАКОН","2","МОЛЧА ПРОШЁЛ","нет файла: zzz.spe"
"ПОСЛЕ","--phase=fsa2","2","ОТКАЗ","⛔ ключ --phase= понимает только fsa, peaks и both, а получил «fsa2». Разбор строгий (`A77`)."
"ПОСЛЕ","--phase=both ЗАКОН","2","МОЛЧА ПРОШЁЛ","нет файла: zzz.spe"
"ПОСЛЕ","--expect=fial","2","ОТКАЗ","⛔ ключ --expect= понимает только ok и fail, а получил «fial». Разбор строгий (`A77`)."
"ПОСЛЕ","--expect=Fail","2","ОТКАЗ","⛔ ключ --expect= понимает только ok и fail, а получил «Fail». Разбор строгий (`A77`)."
