# МАЛАЯ БАЗА КОРПУСА — постоянный набор для частых прогонов.
# Заведена 04.09.2026 по решению Amber: полный корпус гонять
# только когда список задач устаканится и матрицы перестанут
# переделываться.
#
# Отбор идёт ПО СЦЕНАМ, а не по спектрам: прогон FSA — секунды,
# часы съедает пересчёт матриц, и матрица считается НА СЦЕНУ.
# Здесь 59 спектров (понятных 45, непонятных 14) на 8 сценах
# против 136 спектров на 49 сценах у полного корпуса (с 18.09.2026,
# П99/`B30`: `ASN16_Cs137` и `ASN16_Cs137_10cm` понятные на сценах в домике —
# решение Amber 14.09.2026 «Да, в понятную часть и в малую базу»; с 12.09.2026:
# диск `AS80_Th232Medal` стал понятным, П22/П24 — 42/17 на 5 сценах до того).
#
# Непонятная часть матриц НЕ ТРЕБУЕТ ВООБЩЕ — у её спектров нет
# геометрии по построению, и это их свойство, а не недоделка.
#
# ⛔ Числа частей НЕ СКЛАДЫВАТЬ, и всякое число обязано называть
#    свою часть — правило корпуса действует и здесь.
# ⛔ Числа малой базы НЕЛЬЗЯ сравнивать с числами ПОЛНОГО корпуса:
#    это другая выборка, у неё своя база (см. README корпуса).
#
# Сцены: AS80_lu_front, AS80_point0, AS80_th_disk, ASN16_lu_side, ASN16_point0_house, ASN16_point10_house, G1S_point25, G1S_point5
spectrum,det,part,geometry,why
ASN16_Th232,ASN16,unknown,,приоритет Amber: группа названа прямо
ASN16_Charoite,ASN16,unknown,,приоритет Amber: группа названа прямо
ASN16_UGlass,ASN16,unknown,,приоритет Amber: группа названа прямо
ASN16_Granite,ASN16,unknown,,приоритет Amber: группа названа прямо
AS80_Th232_v2,AS80x80,unknown,,приоритет Amber: группа названа прямо
AS80_UGlass,AS80x80,unknown,,приоритет Amber: группа названа прямо
AS80_Charoite,AS80x80,unknown,,приоритет Amber: группа названа прямо
ASN16_Charoite_v2,ASN16,unknown,,приоритет Amber: группа названа прямо
ASN16_Th232_Am241,ASN16,unknown,,приоритет Amber: группа названа прямо
ASN16_Am241,ASN16,unknown,,приоритет Amber: группа названа прямо
ASN16_Cs137,ASN16,known,ASN16_point0_house,приоритет Amber: группа названа прямо; понятным стал 18.09.2026 (B30/П99: точка впритык в домике — «Как в файле: впритык, торец, домик»; графа part здесь справочная — судит parts.csv)
ASN16_Cs137_10cm,ASN16,known,ASN16_point10_house,приоритет Amber: группа названа прямо; понятным стал 18.09.2026 (B30/П99: точка 10 см в домике — «Ввести: 10 см, в домике»; графа part здесь справочная — судит parts.csv)
ASN16_BrazilNuts,ASN16,unknown,,приоритет Amber: группа названа прямо
AS80_Th232Medal,AS80x80,known,AS80_th_disk,приоритет Amber: группа названа прямо; понятным стал 12.09.2026 (B17/П22: геометрия диска AS80_th_disk; графа part здесь справочная — судит parts.csv)
AS80_Onyx,AS80x80,unknown,,приоритет Amber: группа названа прямо
AS80_K40,AS80x80,unknown,,приоритет Amber: группа названа прямо
AS80_Th232WT20,AS80x80,unknown,,приоритет Amber: группа названа прямо
